nombrep,codigogrupop,nombreh,codigogrupoh,nombre_mat,codigo_materia,codenservicio_mat,tipo_mat,creditos_mat
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,LEGISLACION Y RELACIONES INDUSTRIALES,22336,2401,G,6
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,ORGANIZACION DE EMPRESAS (P. 74),19220,CP375,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,ORGANIZACIONES PARA INGENIEROS,20476,1930,G,6
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,ORGANIZACIONES Y SU ADMINISTRACION,20868,1514,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,PLANIFICACIÓN ESTRATÉGICA,14205,D85,G,4
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,PRACTICA DE ADMINISTRACION PARA INGENIEROS,20487,1945,G,5
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,PROPIEDAD INTELECTUAL,63466,559EU,G,3
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,PROSPECTIVA ESTRATÉGICA: CON LA MIRADA EN EL FUTURO,61572,I87,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,SOCIOLOGÍA DE LA EMPRESA Y MANAGEMENT,58006,S42,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES,18415,1440,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ARQUITECTURA DE COMPUTADORAS,18414,1443,G,12
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ARQUITECTURA DE COMPUTADORAS,79424,1466,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ARQUITECTURA DE COMPUTADORES 1,18420,1424,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ARQUITECTURA DE COMPUTADORES 2,18419,1425,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ARQUITECTURA DE SISTEMAS,18617,CP28,G,15
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ARQUITECTURA DE SISTEMAS (P. 74),19225,CP383,G,14
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ASPECTOS AVANZ. DE ARQ.DE COMPUTADORAS,18430,1444,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ASPECTOS AVANZ. DE REDES DE COMPUTADORAS,18428,1448,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,"ARQUIT, S.OP. Y REDES DE COMP.",4428,ASPECTOS BASICOS DE REDES DE COMPUT,37735,1454,G,12
